loinc_code,long_common_name,component,property,time_aspect,system,scale,method,units,category,search_text
6690-2,Leukocytes [#/volume] in Blood,Leukocytes,NCnc,Pt,Bld,Qn,,10*9/L,laboratory,leukocytes white blood cells WBC count blood 10^9/L CBC
789-8,Erythrocytes [#/volume] in Blood by Automated count,Erythrocytes,NCnc,Pt,Bld,Qn,Automated count,10*12/L,laboratory,erythrocytes red blood cells RBC count blood 10^12/L CBC
718-7,Hemoglobin [Mass/volume] in Blood,Hemoglobin,MCnc,Pt,Bld,Qn,,g/L,laboratory,hemoglobin Hgb Hb blood mass concentration g/L CBC
4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,Hematocrit,VFr,Pt,Bld,Qn,Automated count,L/L,laboratory,hematocrit HCT blood volume fraction L/L CBC automated
787-2,MCV [Entitic volume] by Automated count,MCV,EntVol,Pt,RBC,Qn,Automated count,fL,laboratory,MCV mean corpuscular volume red blood cell fL CBC automated
785-6,MCH [Entitic mass] by Automated count,MCH,EntMass,Pt,RBC,Qn,Automated count,pg,laboratory,MCH mean corpuscular hemoglobin entitic mass pg CBC automated
786-4,MCHC [Mass/volume] by Automated count,MCHC,MCnc,Pt,RBC,Qn,Automated count,g/L,laboratory,MCHC mean corpuscular hemoglobin concentration mass volume g/L CBC automated
777-3,Platelets [#/volume] in Blood by Automated count,Platelets,NCnc,Pt,Bld,Qn,Automated count,10*9/L,laboratory,platelets PLT thrombocytes count blood 10^9/L CBC automated
32623-1,Platelet mean volume [Entitic volume] in Blood by Automated count,Platelet mean volume,EntVol,Pt,Bld,Qn,Automated count,fL,laboratory,MPV mean platelet volume entitic fL blood automated
751-8,Neutrophils [#/volume] in Blood by Automated count,Neutrophils,NCnc,Pt,Bld,Qn,Automated count,10*9/L,laboratory,neutrophils absolute count blood 10^9/L CBC automated differential
731-0,Lymphocytes [#/volume] in Blood by Automated count,Lymphocytes,NCnc,Pt,Bld,Qn,Automated count,10*9/L,laboratory,lymphocytes absolute count blood 10^9/L CBC automated differential
742-7,Monocytes [#/volume] in Blood by Automated count,Monocytes,NCnc,Pt,Bld,Qn,Automated count,10*9/L,laboratory,monocytes absolute count blood 10^9/L CBC automated differential
711-2,Eosinophils [#/volume] in Blood by Automated count,Eosinophils,NCnc,Pt,Bld,Qn,Automated count,10*9/L,laboratory,eosinophils absolute count blood 10^9/L CBC automated differential
704-7,Basophils [#/volume] in Blood by Automated count,Basophils,NCnc,Pt,Bld,Qn,Automated count,10*9/L,laboratory,basophils absolute count blood 10^9/L CBC automated differential
770-8,Neutrophils/100 leukocytes in Blood by Automated count,Neutrophils/leukocytes,NFr,Pt,Bld,Qn,Automated count,%,laboratory,neutrophils percent percentage fraction leukocytes blood CBC differential
736-9,Lymphocytes/100 leukocytes in Blood by Automated count,Lymphocytes/leukocytes,NFr,Pt,Bld,Qn,Automated count,%,laboratory,lymphocytes percent percentage fraction leukocytes blood CBC differential
5905-5,Monocytes/100 leukocytes in Blood by Automated count,Monocytes/leukocytes,NFr,Pt,Bld,Qn,Automated count,%,laboratory,monocytes percent percentage fraction leukocytes blood CBC differential
713-8,Eosinophils/100 leukocytes in Blood by Automated count,Eosinophils/leukocytes,NFr,Pt,Bld,Qn,Automated count,%,laboratory,eosinophils percent percentage fraction leukocytes blood CBC differential
706-2,Basophils/100 leukocytes in Blood by Automated count,Basophils/leukocytes,NFr,Pt,Bld,Qn,Automated count,%,laboratory,basophils percent percentage fraction leukocytes blood CBC differential
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,C reactive protein,MCnc,Pt,Ser/Plas,Qn,,mg/L,laboratory,CRP C-reactive protein inflammation marker serum plasma mg/L
76629-5,Fasting glucose [Moles/volume] in Blood,Glucose^fasting,SCnc,Pt,Bld,Qn,,mmol/L,laboratory,fasting glucose blood sugar mmol/L fasting
2339-0,Glucose [Mass/volume] in Blood,Glucose,MCnc,Pt,Bld,Qn,,mg/dL,laboratory,glucose blood sugar mg/dL
