snomed_code,preferred_term,synonyms,hierarchy,search_text
17621005,Normal (qualifier value),Normal; within normal limits; WNL,qualifier,normal finding cognitive function
386805003,Mild cognitive impairment (disorder),MCI; mild neurocognitive disorder,clinical finding,mild cognitive impairment MCI neurocognitive disorder
52448006,Dementia (disorder),Dementia NOS; cognitive decline,clinical finding,dementia cognitive decline disorder
26929004,Alzheimer's disease (disorder),AD; Alzheimer disease; senile dementia Alzheimer type,clinical finding,Alzheimer disease dementia AD
373933003,Subjective cognitive decline (finding),SCD; subjective memory complaint,clinical finding,subjective cognitive decline SCD memory complaint
271737000,Anemia (disorder),Anaemia; low hemoglobin,clinical finding,anemia anaemia low hemoglobin blood disorder
44054006,Diabetes mellitus type 2 (disorder),T2DM; type 2 diabetes; non-insulin-dependent diabetes,clinical finding,diabetes mellitus type 2 T2DM glucose insulin resistance
73211009,Diabetes mellitus (disorder),DM; diabetes,clinical finding,diabetes mellitus glucose metabolism disorder
11687002,Gestational diabetes mellitus (disorder),GDM,clinical finding,gestational diabetes mellitus pregnancy glucose
195527003,Hypertension (disorder),HTN; high blood pressure; arterial hypertension,clinical finding,hypertension high blood pressure HTN arterial
22298006,Myocardial infarction (disorder),Heart attack; MI; acute MI,clinical finding,myocardial infarction heart attack MI acute coronary
230690007,Cerebrovascular accident (disorder),Stroke; CVA; brain infarction,clinical finding,stroke cerebrovascular accident CVA brain
74732009,Mental disorder (disorder),Psychiatric disorder; mental illness,clinical finding,mental disorder psychiatric illness
73595000,Stress (finding),Psychological stress; emotional stress,clinical finding,stress psychological emotional mental
404684003,Clinical finding (finding),Clinical finding,clinical finding,clinical finding observation
719982003,Heart rate (observable entity),Pulse rate; cardiac rate; HR,observable entity,heart rate pulse rate cardiac observable entity
386725004,Body temperature (observable entity),Temperature; temp,observable entity,body temperature fever temperature observable
75367002,Blood pressure (observable entity),BP; arterial pressure,observable entity,blood pressure BP systolic diastolic observable
29463-7,Body weight (observable entity),Weight; mass,observable entity,body weight mass kg pounds observable
248334005,Length of body (observable entity),Height; stature; body height,observable entity,body height length stature cm observable
60621009,Body mass index (observable entity),BMI; Quetelet index,observable entity,BMI body mass index Quetelet kg/m2 observable
441465003,Pulse oximetry (procedure),SpO2; oxygen saturation pulse ox,observable entity,oxygen saturation SpO2 pulse oximetry wearable
250554003,Measurement of respiratory rate (procedure),Breathing rate; RR,observable entity,respiratory rate breathing rate breaths per minute
251042004,Heart rate variability measurement (procedure),HRV; RMSSD; autonomic tone,observable entity,heart rate variability HRV RMSSD autonomic nervous system wearable
228272008,Physical activity (observable entity),Exercise; activity level; movement,observable entity,physical activity exercise step count activity wearable
248263006,Sleep (finding),Sleep pattern; sleeping,observable entity,sleep total deep REM light duration minutes wearable
266919005,Never smoked tobacco (finding),Never smoker; non-smoker,clinical finding,never smoked tobacco non-smoker no smoking status
8517006,Ex-smoker (finding),Former smoker; previously smoked; stopped smoking,clinical finding,former ex-smoker previously smoked stopped smoking status
77176002,Smoker (finding),Current smoker; smokes tobacco,clinical finding,current smoker smokes tobacco yes smoking status
